Disease ID,Disease Name,Associated Gene IDs
C0003873,Rheumatoid Arthritis,"100506023, 10057, 10125, 101927437, 1021, 10257, 10274, 10586, 10628, 10665, 10666, 10678, 10745, 10956, 11102, 11170, 117289, 122618, 1235, 1244, 130540, 135, 1356, 1401, 1404, 1437, 1490, 1493, 150577, 1509, 151056, 156, 160364, 1656, 1687, 171425, 1719, 176, 177, 1776, 1803, 1827, 196, 200734, 2023, 2147, 219790, 2212, 221895, 22806, 2289, 23228, 23534, 2356, 23569, 23643, 23766, 240, 26147, 2618, 26191, 2625, 2638, 285704, 2870, 2920, 2974, 3059, 306, 3115, 3118, 3123, 3236, 3237, 3239, 326, 3290, 3394, 342132, 3458, 3486, 3491, 3516, 3553, 3557, 3559, 356, 3560, 3569, 3570, 3572, 3576, 3586, 3606, 3654, 3655, 3663, 3798, 3899, 3934, 4082, 412, 4204, 4218, 4261, 4282, 4313, 4319, 4321, 4353, 4520, 4524, 4688, 471, 4794, 4795, 4982, 50943, 5138, 51561, 51744, 5243, 53347, 5341, 5444, 5453, 54541, 54826, 54899, 55289, 55755, 5583, 5588, 55937, 55971, 56244, 5673, 56901, 57007, 5743, 5747, 57705, 5771, 57719, 5788, 5890, 5911, 5966, 597, 624, 633, 6355, 6366, 6372, 639, 640, 6441, 652, 652968, 653361, 654, 6556, 6583, 6611, 6648, 6772, 6775, 6821, 7090, 7097, 7112, 7124, 7127, 7128, 7185, 7189, 7297, 7422, 7852, 79016, 7917, 79258, 79722, 7980, 800, 8013, 81567, 81849, 8200, 8320, 84159, 84162, 847, 84709, 84752, 85313, 858, 860, 8604, 861, 8714, 8740, 8764, 8836, 90355, 9052, 9135, 914, 9145, 916, 921, 9308, 9355, 9370, 940, 9415, 9429, 9474, 958"
C0003872,"Arthritis, Psoriatic","10758, 3107, 3576, 3593, 400957, 4049, 4210, 4843, 4929, 54620, 5966, 64127, 643749, 652, 7124, 860, 968"
C0002871,Anemia,"10533, 113235, 142, 1437, 1440, 183, 2056, 2936, 30061, 3240, 3440, 3481, 3558, 3562, 374569, 4524, 51312, 538, 5617, 5741, 57817, 5972, 6648, 7124, 7298, 8797, 9474"
C0206698,Cholangiocarcinoma,"10232, 1956, 2064, 2263, 2778, 3417, 3418, 3569, 3845, 4089, 4843, 5178, 54894, 55193, 5566, 5567, 5743, 5774, 58508, 6092, 6528, 7157, 8289, 8314"
C0206754,Neuroendocrine Tumors,"1027, 1616, 4221, 546, 5744, 673, 6751, 6752, 6753, 7298"
C0024530,Malaria,"1012, 114609, 1154, 1378, 1401, 2213, 2532, 256892, 259197, 28, 2993, 2995, 3240, 3383, 4055, 4843, 493, 6521, 7124, 91752, 948"
C0598608,Hyperhomocysteinemia,"113235, 1674, 27232, 29108, 4524, 4552, 4868, 5444, 7124, 834, 875"
C0019693,HIV Infections,"10189, 10197, 10204, 1026, 10280, 10436, 10527, 10574, 10594, 10808, 10946, 10980, 10981, 1192, 1232, 1524, 1647, 1973, 1978, 213, 2208, 22948, 23198, 23411, 2971, 3068, 30835, 3106, 3107, 3240, 329, 330, 3313, 3315, 3320, 3326, 3329, 335, 3458, 3558, 3559, 3566, 3577, 3586, 3608, 3692, 3811, 3837, 393, 396, 397, 4067, 4150, 4153, 4193, 4927, 4953, 5265, 5479, 5685, 5686, 5687, 5692, 5699, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 581, 5901, 5902, 6347, 6348, 6349, 6356, 6387, 6421, 6426, 64411, 6556, 6634, 6722, 6880, 7203, 7266, 7307, 7528, 80273, 85363, 8662, 8683, 9230, 940, 9531, 9861, 998"
C0038013,Ankylosing spondylitis,"100507436, 101929072, 118429, 149233, 196527, 23046, 3105, 3106, 3593, 51752, 5734, 64170, 7850, 864, 9755"
C0010606,Adenoid Cystic Carcinoma,"10847, 10933, 1387, 1462, 1612, 182, 2011, 2019, 2033, 2175, 2195, 221037, 2264, 2309, 23135, 23209, 23220, 23269, 23543, 23619, 23774, 259266, 2620, 2621, 26292, 27255, 27344, 284058, 29072, 29128, 2982, 3008, 3265, 3485, 358, 3645, 3691, 3852, 3866, 4082, 4602, 4603, 4613, 472, 4781, 4851, 50805, 51477, 51514, 51659, 5174, 51742, 5176, 5290, 53335, 54441, 54531, 546, 54756, 54880, 55294, 55534, 55783, 5591, 55914, 5605, 5728, 57419, 5834, 58508, 595, 63035, 64324, 6484, 653220, 6595, 6605, 6651, 6659, 6664, 672, 7153, 7157, 7403, 7994, 80303, 81029, 81831, 8243, 8289, 8332, 84159, 8823, 9223, 93986, 9454, 9700, 9863, 9874, 999"
C3495559,Juvenile arthritis,"100820829, 10769, 10810, 10826, 10950, 11252, 113, 1191, 122416, 1390, 139105, 146225, 1493, 150094, 153020, 157922, 1612, 1647, 1649, 1839, 1843, 1844, 1846, 1950, 1958, 196441, 1998, 200315, 2017, 203228, 2120, 2209, 221037, 22864, 23043, 23074, 23080, 23093, 23166, 2353, 2354, 2355, 23764, 239, 25816, 26037, 27086, 2766, 2791, 2812, 283131, 2919, 3012, 3084, 3310, 340205, 3480, 353514, 3557, 366, 3674, 3693, 3725, 374, 3772, 3845, 4026, 4088, 4133, 4478, 473, 4929, 4973, 5008, 51320, 51338, 51741, 5187, 5239, 5329, 5352, 54502, 54757, 55, 55500, 5594, 5627, 60685, 64224, 6515, 6556, 6774, 6786, 6934, 694, 7027, 7035, 7057, 7130, 7280, 732, 7324, 7844, 7852, 800, 8013, 81565, 8291, 8339, 83699, 8379, 84281, 84441, 84519, 84909, 84981, 85413, 8794, 926, 929, 9308, 9314, 9334, 9468, 9690, 9788, 9873, 9886"
C0027659,"Neoplasms, Experimental","10140, 1019, 1728, 196, 2026, 2064, 2149, 22827, 25, 3082, 30834, 3265, 3274, 3458, 3558, 3592, 3593, 3832, 3845, 405, 407041, 4893, 5111, 5621, 574511, 595, 5970, 613, 6678, 6696, 682, 7124, 7422, 8725, 8743"
C0027658,"Neoplasms, Germ Cell and Embryonal","1761, 1911, 2067, 2072, 359787, 4254, 5460, 55729, 6337, 6515, 79923, 928, 9573"
C0002171,Alopecia Areata,"102723878, 1493, 154064, 25824, 2833, 3559, 3627, 4283, 55014, 64375, 79465"
C0002170,Alopecia,"100188784, 1244, 1392, 142, 23328, 23476, 367, 4524, 54503, 55806, 6716, 6832, 7421, 7538, 8797"
C0428977,Bradycardia,"10911, 11188, 1129, 134, 1392, 1565, 1813, 183, 1906, 1907, 1908, 2641, 2771, 2796, 3350, 3827, 3972, 4922, 5173, 5443, 5617, 6863, 6869, 7200"
C0009447,Common Variable Immunodeficiency,"115650, 1380, 23495, 29851, 4790, 4791, 5580, 8742, 930, 931, 975, 987"
C0017658,Glomerulonephritis,"133, 1674, 1675, 183, 2099, 213, 2833, 3458, 3553, 3558, 3559, 3569, 3576, 3586, 3606, 3727, 406892, 406903, 4803, 4868, 5443, 5468, 6346, 6347, 6348, 6351, 6352, 6354, 7124, 7490"
C0001973,"Alcoholic Intoxication, Chronic","10150, 10243, 1136, 1138, 125, 126, 1312, 145858, 1571, 217, 23552, 2488, 2550, 2555, 2566, 2626, 2678, 2693, 27340, 3356, 347735, 3972, 4852, 4887, 4988, 50833, 5142, 5173, 54622, 55213, 55825, 5726, 63876, 6462, 6532, 6622, 6869, 6870, 7018, 886, 9095"
C0273115,Lung Injury,"1543, 1544, 196, 1999, 2252, 23411, 3162, 3371, 3569, 4311, 4803, 4914, 6347, 6348, 6351, 7039, 7099, 7124, 7132, 80310"
C1136249,"Mental Retardation, X-Linked","10084, 11141, 116442, 139411, 1741, 186, 2245, 23229, 2664, 282808, 4128, 4983, 546, 57526, 641339, 65109, 6535, 6855, 7552, 7592, 79742, 8573"
C0038454,Cerebrovascular accident,"1636, 1906, 196743, 213, 2147, 2153, 217, 2833, 335, 3360, 3383, 3553, 3557, 3569, 3613, 3659, 3674, 3685, 3690, 4018, 4524, 463, 4843, 5144, 5327, 5328, 54498, 5563, 5743, 6647, 7040, 7124, 7291, 7351, 79001, 7941, 92369, 9734"
C0019284,Diaphragmatic Hernia,"1080, 183, 1906, 1909, 1910, 2006, 2247, 23414, 2626, 2627, 2697, 3170, 3202, 3213, 3383, 3479, 3481, 3569, 362, 3737, 3745, 3778, 4036, 4846, 4878, 64220, 6439, 6440, 652, 6586, 7026, 7040, 7055, 7067, 7068, 7080, 7124, 7345, 7412, 7490, 8817"
C0282612,Prostatic Intraepithelial Neoplasias,"1027, 1786, 2099, 2100, 2950, 367, 4502, 5292, 5728, 7155, 999"
C0751617,Semilobar Holoprosencephaly,"2253, 2619, 2736, 28514, 4838, 50937, 5727, 6469, 6496, 6997, 7050, 7546, 84976, 8928"
C0035258,Restless Legs Syndrome,"100188812, 100188813, 100188839, 100302512, 100302561, 114781, 192142, 4211, 450097, 5443, 5607, 5789, 643714, 7018"
C1142166,Brugada Syndrome (disorder),"10008, 10021, 23171, 23493, 3752, 3764, 54795, 55800, 6324, 6331, 6336, 775, 781, 783, 7871"
C0013990,Pathological accumulation of air in tissues,"10516, 348, 4780, 4843, 5265, 5520, 5522, 5525, 636, 7157, 9365"
C0018671,Head and Neck Neoplasms,"1050, 1440, 1806, 1956, 2195, 23532, 2876, 2922, 374, 4118, 5594, 5595, 5888, 5915, 596, 598, 6778, 7039, 7298, 7389, 7422, 7517, 9582"
C0006118,Brain Neoplasms,"1019, 1029, 113878, 1559, 1612, 23411, 238, 27436, 28514, 3558, 388585, 4255, 441478, 5111, 5444, 5727, 595, 5970, 6608, 6648, 6696, 7052, 7422"
C0018772,"Hearing Loss, Partial","100507266, 10788, 114801, 130951, 1369, 147372, 2151, 219749, 221711, 2241, 22871, 23555, 285362, 30820, 339559, 401548, 5592, 57493, 5784, 63892, 64374, 64478, 730091, 7388, 91, 93979, 9630"
C0008625,Chromosome Aberrations,"1021, 2034, 2067, 25913, 2944, 2950, 2952, 4297, 4613, 4968, 6799, 6817, 7508, 7518, 9"
C0023434,Chronic Lymphocytic Leukemia,"100048912, 100188791, 100270642, 100270643, 100270644, 10665, 11073, 11262, 115761, 23451, 23547, 25797, 25865, 25913, 26034, 28444, 29125, 29949, 3117, 3394, 3431, 3500, 355, 3569, 3662, 3676, 400997, 406935, 406937, 406950, 4524, 472, 4988, 5027, 51176, 5366, 5423, 5527, 55289, 55892, 5743, 57476, 578, 59, 5934, 595, 596, 64506, 64864, 7037, 7157, 7421, 8101, 81037, 817, 8302, 841, 8600, 8792, 90427, 921, 9855"
C0034951,Refractive Errors,"100528022, 1146, 2893, 317761, 388336, 3908, 4642, 5095, 54715, 55748, 56479, 57369, 5801, 5923, 6096, 70, 776, 79698, 9414"
C0019196,Hepatitis C,"1234, 1548, 1576, 23586, 282617, 3077, 3440, 3458, 4015, 4017, 4023, 4988, 5788, 949, 975"
C0025500,Mesothelioma,"10232, 1027, 1029, 11186, 1734, 1956, 1958, 2099, 2246, 2247, 2272, 22827, 23741, 2475, 2662, 2719, 2934, 2944, 324, 3458, 4582, 4771, 4831, 5154, 5241, 54716, 55600, 56034, 6648, 6696, 6850, 7296, 7490, 7515, 7517, 8314, 847, 84700, 8915, 94274, 999"
C0242379,Malignant neoplasm of lung,"11200, 1136, 123688, 143187, 147700, 2068, 55937, 5893, 59, 675, 7015, 7917, 81037, 8626, 8897, 9333"
C3875321,Inflammatory dermatosis,"100125288, 100996324, 10111, 101927027, 101929507, 102724748, 11201, 1431, 149233, 23040, 23586, 285626, 353135, 4255, 48, 4843, 5141, 51752, 54922, 55770, 55905, 5799, 5966, 5980, 6231, 64377, 64478, 6586, 6773, 686, 6924, 7087, 7128, 81890, 84162, 8575, 90134, 91749, 9844, 9927"
C0162809,Kallmann Syndrome,"10371, 128674, 1848, 2253, 2260, 23767, 26012, 3730, 389549, 54756, 55636, 55717, 60675, 6663, 6870, 81848, 84634, 8820, 8822, 9394"
C0023794,Lipoidosis,"11067, 1174, 12, 2168, 26471, 3249, 4047, 427, 440, 5468, 55062, 6319, 64838, 6515, 6876, 79153, 83729, 8431, 9415"
C0011849,Diabetes Mellitus,"101927366, 1356, 1374, 153, 1536, 2335, 23411, 23671, 346171, 3630, 3667, 3799, 3953, 4217, 4508, 5443, 5444, 5468, 547, 5743, 5879, 653361, 6647, 7058, 847, 8639, 8856, 9370, 9970"
C0016059,Fibrosis,"10159, 111, 1134, 1277, 1278, 1281, 1440, 150, 152, 154, 1588, 1634, 183, 207, 213, 2235, 23411, 284, 3162, 3553, 3557, 3565, 3816, 3953, 406991, 472, 4881, 5155, 5294, 54974, 5609, 5743, 5972, 6648, 6774, 7040, 7057, 7124, 80310, 8877, 894"
C0020443,Hypercholesterolemia,"1066, 1281, 1489, 1581, 19, 1906, 255738, 27035, 3156, 338, 3383, 348, 3949, 3952, 4018, 4023, 4638, 5444, 6401, 653361, 7412, 8013"
C0025958,Microcephaly,"10059, 10084, 10293, 10617, 10733, 11284, 1778, 2074, 2290, 26128, 283989, 284403, 3796, 3800, 407975, 4998, 6513, 6925, 701, 7283, 79042, 80254, 80746, 84879, 8573"
C0040411,Tongue Neoplasms,"1410, 3265, 3315, 360, 3861, 407007, 5743, 6648, 7012, 7298"
C0027720,Nephrosis,"10763, 10855, 1649, 1674, 183, 1906, 1910, 213, 2147, 3383, 3689, 5972, 6647, 7431, 7827"
C0007273,Carotid Artery Diseases,"183, 22808, 2950, 3162, 348, 356, 5328, 5420, 6347, 7157, 9332"
C0018273,Growth Disorders,"10084, 10743, 152330, 1544, 1788, 1902, 196, 2074, 2245, 26277, 2688, 27125, 282808, 285590, 3162, 3480, 3481, 3483, 4054, 407975, 43, 4880, 5290, 538, 546, 554, 5744, 6913, 701, 79048, 84282, 867, 9719"
C0014553,Absence Epilepsy,"114327, 1181, 2562, 2566, 50966, 51305, 773, 8629, 8912, 9254"
C0014556,"Epilepsy, Temporal Lobe","1268, 2911, 2912, 2913, 2914, 2915, 3749, 3791, 4514, 4852, 4887, 5025, 5027, 57468, 623, 624, 6505, 6558, 7010, 7421, 7422, 7442, 9353"
C0025261,Memory Disorders,"10280, 11255, 1128, 1139, 1813, 2558, 28964, 2925, 3115, 3350, 3362, 3363, 3481, 351, 3553, 3630, 4012, 4137, 4192, 4282, 43, 4835, 4852, 5071, 5368, 551, 5663, 57030, 57084, 596, 5966, 6531, 6532, 6774, 6855, 7422, 9495"
C0007370,Catalepsy,"1268, 134, 1812, 1813, 183, 2534, 2641, 4922, 5443, 5617, 7054, 7200, 796, 84152, 885"
C1333990,Hereditary Nonpolyposis Colorectal Cancer,"27030, 2956, 3845, 4072, 4292, 4436, 5290, 5378, 5395, 6224, 657, 7048, 9209"
C0023487,Acute Promyelocytic Leukemia,"1050, 1053, 1668, 207, 2152, 2322, 2735, 2736, 3458, 3605, 366, 3683, 3684, 3687, 3689, 406948, 406950, 4869, 4926, 5371, 5573, 5909, 5914, 64859, 6608, 6777, 7056, 7704, 79718, 81608, 960"
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,"10320, 1490, 2120, 23269, 2625, 5079, 55729, 64109, 6774, 6929, 861"
C0018099,Gout,"126133, 2263, 22900, 254263, 2646, 3553, 4296, 56606, 929, 9429"
C1956346,Coronary Artery Disease,"10, 100048912, 10019, 10221, 1030, 11173, 116519, 1401, 1636, 1952, 2056, 2099, 2100, 221692, 22808, 23293, 23294, 23564, 255738, 2784, 28, 283450, 2982, 3162, 325, 345, 3654, 3667, 375056, 3949, 3988, 4018, 4023, 4049, 406938, 4314, 4846, 4879, 490, 5069, 51530, 5444, 54805, 55759, 5743, 574447, 57608, 6272, 6347, 6387, 64240, 64241, 64968, 6581, 6597, 6943, 7015, 7099, 7189, 7422, 80310, 84439, 84830, 8613, 9365, 9518, 959"
C1861172,Venous Thromboembolism,"100874375, 10529, 10544, 205, 2147, 2153, 2160, 2202, 2243, 2259, 2266, 23414, 23555, 254827, 28, 29922, 3053, 462, 5327, 54014, 55245, 5624, 57153, 60676, 63895, 653140, 6838, 6875, 7124, 728215, 728755, 8089, 91543, 91584, 9630, 9727"
C0032927,Precancerous Conditions,"10188, 1050, 1072, 10897, 10975, 1124, 121256, 1373, 140885, 164395, 166336, 192286, 1948, 1950, 217, 2305, 23302, 23404, 2495, 25, 25839, 2705, 2941, 2950, 3033, 307, 3265, 339487, 3481, 3484, 3667, 383, 3856, 406884, 406886, 406910, 406937, 406984, 406993, 406994, 407017, 407029, 407033, 407054, 407056, 4193, 4353, 442898, 442903, 442906, 442908, 442920, 5037, 506, 51491, 5245, 54802, 5592, 5599, 5601, 5609, 5743, 574413, 57628, 587, 595, 619552, 6317, 64081, 6496, 6648, 6776, 693235, 70, 7171, 7204, 724022, 728239, 7422, 79039, 79879, 8100, 84249, 847, 84909, 8659, 91522, 9446, 95, 9970, 999"
C0010346,Crohn Disease,"100130889, 10067, 100861468, 101927324, 101929163, 102723878, 10745, 11116, 11262, 114548, 117289, 1201, 1401, 144811, 149233, 150962, 151306, 157869, 159296, 163486, 1788, 1997, 200728, 219771, 221895, 22891, 22904, 2335, 2358, 2524, 26191, 2646, 283463, 284119, 285626, 3123, 339145, 345611, 3458, 3460, 3479, 3559, 3569, 3586, 3593, 3952, 400757, 4049, 4088, 4295, 441108, 4485, 4689, 51744, 54106, 5465, 5468, 54901, 55024, 55054, 5536, 55600, 55765, 56244, 5699, 57178, 57606, 5771, 60468, 63027, 6347, 63892, 64127, 64167, 64170, 647215, 6556, 6774, 677775, 7099, 7124, 7297, 7332, 7448, 746, 79722, 80315, 8209, 84619, 8477, 84870, 8635, 8651, 8807, 8844, 8863, 8927, 8929, 8935, 9223, 9370, 9635, 9873, 9966, 9971"
C0007873,Uterine Cervical Neoplasm,"10401, 1499, 1956, 2067, 2261, 2475, 3115, 3116, 3280, 4524, 4851, 4853, 5457, 5915, 6774, 7015, 7472, 7474, 7528, 81037, 841, 9582"
C0013386,"Dyskinesia, Drug-Induced","1812, 1813, 1814, 2354, 2571, 2643, 2668, 5173, 5179, 5923, 7054, 847, 8787, 885, 9456"
C0022336,Creutzfeldt-Jakob disease,"151507, 216, 22926, 3119, 319101, 3822, 5621, 692157, 7280, 780851, 79644, 79974, 8360, 9108"
C0087012,"Ataxia, Spinocerebellar","10939, 140451, 146057, 2296, 23152, 25894, 2672, 342371, 5521, 5582, 6310, 6311, 6314, 6712, 773, 84991"
C0917796,"Optic Atrophy, Hereditary, Leber","100188775, 3552, 3553, 4508, 4514, 4519, 4535, 4536, 4537, 4538, 4539, 4540, 4541, 4556, 6121, 9227"
C0023891,"Liver Cirrhosis, Alcoholic","1281, 1571, 3569, 4088, 4313, 4353, 53345, 596, 5970, 6648, 7040, 7076, 7124, 79143, 80339, 847"
C0242488,Acute Lung Injury,"1906, 335, 3383, 355, 356, 429, 4638, 5468, 7031, 7032, 7040, 7295, 7432, 847, 90, 9173"
C0023893,"Liver Cirrhosis, Experimental","1036, 10840, 10855, 114757, 1268, 127, 1281, 133, 135, 1373, 1440, 1544, 1586, 1733, 174, 183, 1906, 213, 216, 217, 2173, 219, 2247, 2326, 23491, 23600, 2542, 2645, 2688, 2690, 2805, 2875, 2939, 2944, 3082, 3162, 3294, 3398, 3439, 3440, 3458, 3479, 3484, 3485, 3553, 3586, 3611, 364, 3694, 3827, 3856, 3875, 3929, 3934, 3952, 3958, 4087, 4089, 4249, 43, 4311, 4312, 4313, 4317, 4318, 4322, 4489, 4780, 4843, 4846, 4904, 4907, 5008, 5091, 5105, 51179, 51380, 5159, 5168, 5243, 5340, 5443, 54466, 5743, 6038, 622, 6347, 655, 6554, 6568, 6678, 6783, 6822, 7040, 7048, 7076, 7124, 7422, 7442, 761, 83729, 8431, 8630, 8651, 871, 8824, 9104, 9370, 9501"
C0263454,Chloracne,"10140, 1021, 1027, 1390, 1524, 1647, 1956, 257019, 257101, 2944, 2947, 3039, 3040, 3043, 3045, 3047, 3689, 3872, 5008, 51251, 5272, 54205, 55726, 5734, 6117, 6251, 7051, 7832, 79026, 79722, 83481, 8766, 940"
C0023895,Liver diseases,"1230, 1241, 1281, 1440, 1544, 1728, 174, 196, 2027, 210, 23576, 23600, 241, 249, 2570, 2678, 27040, 27306, 2869, 2875, 3101, 3162, 3303, 3556, 3581, 3589, 3694, 3728, 4318, 4524, 4790, 4843, 4864, 5265, 540, 54210, 56624, 5879, 59, 598, 6039, 6309, 6341, 6347, 6430, 6489, 6647, 6783, 7051, 7078, 7104, 7124, 729230, 7295, 7305, 7850, 83716, 8651, 8829, 885, 9021, 915, 942, 9420, 94235, 974, 9971"
C0022661,"Kidney Failure, Chronic","1374, 1401, 1535, 1536, 1555, 1557, 1636, 1839, 19, 2056, 213, 2168, 2194, 2981, 3156, 3162, 3479, 3569, 38, 4481, 4627, 4790, 4803, 50507, 5054, 5076, 51085, 51094, 5465, 56729, 5742, 5743, 57817, 5970, 6347, 653361, 6720, 6721, 7040, 7124, 847, 9370, 949, 9619, 968"
C1262477,Weight decreased,"10533, 1280, 1392, 1831, 2056, 3440, 3565, 3586, 3630, 3976, 4057, 4852, 5020, 5443, 54982, 6647, 9370, 9474"
C0023264,Leigh Disease,"123263, 1355, 137682, 1738, 1892, 374291, 4508, 4514, 4535, 4536, 4537, 4538, 4540, 4541, 4566, 4567, 4577, 4578, 4695, 4720, 4722, 4723, 4724, 4728, 51204, 5428, 55572, 55699, 617, 6389, 6834, 79133, 79731, 91942, 9997"
C0007570,Celiac Disease,"100131327, 100188846, 100188870, 100188871, 100188872, 100188873, 100188874, 100188875, 10019, 100301522, 101927156, 101927840, 101928376, 10301, 117289, 1233, 1493, 150223, 150962, 154215, 2113, 23150, 23308, 284099, 29851, 31, 3115, 3117, 3119, 317782, 338332, 3600, 387357, 4026, 4650, 4660, 4774, 5341, 55892, 57178, 57514, 5771, 59067, 60468, 6311, 7052, 7473, 79258, 84162, 864, 8764, 8809, 919, 941, 9844"
C0017601,Glaucoma,"100048912, 100287616, 1029, 1030, 10587, 120526, 1301, 144100, 196294, 23424, 26610, 2762, 344148, 4016, 4638, 51071, 5373, 54715, 55133, 60312, 7042, 8671"
C0039231,Tachycardia,"10451, 1813, 196, 2641, 2778, 2796, 3360, 3630, 3952, 3972, 51083, 590, 6262, 6343, 7124, 7200, 7432"
C0346153,"Breast Cancer, Familial","11200, 2099, 324, 4519, 4556, 4576, 472, 580, 5888, 672, 675, 7251, 79728, 83990"
C0022116,Ischemia,"1158, 134, 1356, 140, 1958, 2833, 3162, 3569, 4846, 5020, 5111, 5328, 54205, 5468, 551, 5601, 581, 59, 5972, 6275, 6387, 6647, 6648, 7157, 7498, 871, 968"
C0032580,Adenomatous Polyposis Coli,"1592, 207, 2328, 26585, 324, 4163, 4595, 4913, 5743, 6648"
C0040128,Thyroid Diseases,"10618, 163223, 163882, 1733, 1734, 3398, 3399, 3693, 51454, 6347, 687, 6926"
C0030319,Panic Disorder,"101927284, 1312, 135, 150, 3630, 387572, 5317, 54549, 57101, 57658, 619493, 677663, 887"
